Review,Rating
"bad far outweighs good, understand china expected somethings different, traveled developing countries stayed various hotel rooms world sowe quite bit experience compare adventure against.the hotel staff nice hotel manager helpful whenour luggage delayed hong kong- called airline speak chinese, breakfast good hotel location wonderful, felt safe area hotel hotel secure, lots asian travelers lots domestic chinese travelers, western travelers there.now bad, hotel room filthy, maybe rooms filthy really disgusting, mold bathrooms aroundthe toilet near tub sink lightfixture dirty tub bathroom counter n't wiped elses toothpaste dribbles arrived, drinkingglasses dirty, dead bugs smooshed wall ceiling counted 4 dead bugs splattered- n't wiped away splatter, got 6 random bugbites night hotel particularly painful week later, entire hotel funky smell got used days.other posts say beds hard, thought maybe posters used softer bed, oh no, called beds seriousness, ca n't jump them- bounce-at, sit say sitting stone wall expectinga mattress, sleep floor, spa nice prices ca n't beat, prepared spend intended- went spa twice time extra hidden fee, 7 medicine, n't know got foot massage, ask staff gets testy demands youpay, silly went seconds, second time hit 12 rental fee, got massage- room massage n't included price, spa jamming clients, furthermore additional prices mentioned pamphlet charge, questioning practice led clusterof angry people threatening manager yelling inchinese, n't worth aggrevation fighting dollars, drink water china, problem grab big drinking water jug offered room pay dollars it.well expiration date drinking water passed 4 months ago.and seal water obviously broken, calls desk request new water jug went unheeded entire stay forced purchase expensive water lobby shop, terrible inconvenience nonetheless.our travel agent told got china course thishotel n't really considered 4 stars chinese, received rating proximity local attractions, ok hotel money, probably- awfully cheap, honesty wants rough china, n't travel way camping expected 2 star motel quality room, room 1 star, late- stay someplace, late change plans roughing,  ",1
"great location, bostonian excellent location fanueil hall quincy market north end freedom trail, room quiet slightly smaller used fit needs fine, lobby area nice wonderful bar restaurant, n't eat restaurant budget constraints great convenience needed, mcdonalds corner union oyster co. eateries/bars, staff helpful, miss ice machine convenience ask desired, nice mini bar room necessary budget, recommend desiring convenient comfortable hotel downtown boston,  ",3
"mixed experience travel frequently work pleasure hotel max mixed experience.my reservation order arrived despite calling twice making sure incidentals cleared room hold n't credit card arrival told possible.reasonably credit card placed hold, hours later resting room cleaning staff came emptied incidentals, n't room charge card.the room crowded small compared similar boutiques san francisco knob window heater opposed digital moderates temperature, native minnesota seattle fairly temperate comparison n't huge deal factor coming warmer climate n't want wake roasting/freezing.eventually room felt cozy instead cramped getting used, decor entertaining.there multiple occasions days room smoky likely nearby smoking room, opening window solved problem, hear neighbors talking normally room.on positive art doorways stunning hotel certainly personality, desk friendly knowledgeable competent, free business center high speed internet printers, location prime walking parts city.typically minute wait cab, walk uphill block westin line available cabs take.if looking crash night great choice, looking spend time probably better choices available money,  ",3
"think convicts live better stay memorable experience, place horrible, hope lot sleep home wo n't, beds hard better floor, mention iron fencing head board, room reminded cruise ship cabin hell equipped 19 tv screen, dead bugs stuck ceiling hallway, tub filled ankles showering forget added bonus water covering floor condensation shower lack vents bathroom, city outside enter room no, yes windows painted, pick snacks drinks entering building 1 vending machine located 11th floor old dirty half, discover soda machine probably located floor left 1 2 emergency stairways, high-rise shack equipped 2 elevated hold 12. hope patience, better stay nearest econo-lodge, positive thing say home,  ",1
"inspired write review used tripadvisor past couple years choose hotels posted review, wanted confirm hotel casablanca great hotel described posters really ca n't understand question friendliness staff, husband independently commented good staff particularly human friendly sense humour lacking, doormen particularly helpful noting queries pass people desk queue questions answered, 6th different hotel stayed new york seven visits time choose hotel reason price particularly disliked previous hotels value money paid 299 night king sized bedroom friendliness amenities hotel win hands, previous poster noted hotel 5* hotel 3* hotel according website best 3* hotel stayed, times square location ideal manhattan far away midtown requested quiet room quiet new york let times square, room size average decor nice clean modern nice toiletries, dvd complimentary dvd library nice touch reasonable range films choose free internet access useful.the wine cheese evenings fantastic touch 5 different types cheese quality biscuits grapes drinkable wine day long fruit coffee biscuits muffins, certainly drew guests sample offer seat left, pianist sounded great friday night sadly n't able stay listen tickets, complimentary breakfasts great considering complimentary including cereals pastries bagels fruit cream cheese hard boiled eggs yoghurts, selection drinks, need eat quality quantity complimentary food drink provided hotel recommend given wealth good restaurants vicinity, day checked left bags going popped upstairs check flight details internet following day, thought receptionist problem particularly internet lounge free pastries coffee nothing said nobody checked polite courteous usual,  ",5
"loved hotel stayed hotel husband 16 year old daughter.check quick porter took luggage 18th floor luggage left terminal 5 heathrow returned 2 weeks later view ok cathedral fine, room appointed beds extremly comfortable, days hotel really used sleeping n't eat resturants.it handy rockefellar centre saks 5th ave tiffanys 4 days loved wary taxis airport ask price paid 85 newark sure driver asking paid arrived pre-paid transport uk naivelly told this.all told great experience definately hotel,  ",5
"great hyatt stay, stayed dfw grand hyatt second time august 31 flying terminal d following morning, stayed grand hyatt night flight year scan october review again.we signed park fly package provided parking terminal d lot week wound paying extra 32 16 x days left knew ahead time, wound saving heck lot money plan usually park parking spot shuttle glad stayed airport lot, spot 90 seconds terminal fabulous overnight flight dfw hawaii hours late painless walk baggage claim car.just time room spotless, n't think bad room hotel views pretty unless stuck stairs elevator, drinks downstairs bartender jason gave sample pineapple vodka preserving bar, grand hyatt online concierge help special room requests dinner reservations, n't need particularly taxing sign extra towels hotel, imagine surprise request actually honored, nice touch showed grand hyatt takes little things seriously.the drinks great conversation good room comfortable luxurious, love bed ca n't wrong plush linens new bed, bathroom huge tub small big fan huge shower.check-in quick friendly snafu check-out charged 70 reserved rate, charge quickly updated n't cause lose time.our regret stay long partake beautiful fitness facility upstairs local really reason stay night.we highly recommend hotel glad finally someplace stay site old outdated hyatt,  ",5
"stuffy old adolphus recently stayed night supposed adolphus hotel property wasn__Ç_é_ necessarily bad cut stay short night updated accommodations, hotel rich history used downright fancy charm reputation weren__Ç_é_ wouldn__Ç_é_ return, booked hotel amex__Ç_é_ fine hotels resorts program property definitely drop list.the adolphus things going it__Ç_é_ heart downtown offers variety room sizes/categories pleasant staff rooms pretty cheaply priced it__Ç_é_ purported finest dining hotel america french room, oh queen stayed, hotel proud fact picture hangs lobby i__Ç_éêl enjoyed stay years ago, unfortunately don__Ç_é_ think property updated bit hotel__Ç_é_ royal appointment doesn__Ç_é_ really matter anymore.we booked junior suite nicely sized really big room, room took smelled cigarette smoke asked moved, desk happy oblige moved junior suite completely different layout, smoke free definite mustiness, dÄcor room stuffy charm smacked fancy hotel late 1970s, didn__Ç_é_ appeal, clean pretty-good condition got feeling furniture used old, bathroom decent sized marble surfaces floors counters combination shower/bath, fixtures good quality rest room looked old, room televisions concealed armoires.because town attend wedding festivities dropped bags cranked a/c left dinner, returned noticed room cooler checked felt quite muggy inside, tired think moving room turned, 2 a.m. awoke sore throat congested head, air conditioner running nonstop room grown muggier cooling, air coming vents felt damp imagine mold spores breathing, minutes later rain began fall outside started hearing dripping sound, windows didn__Ç_é_ open taking water fast pool formed marble ledge overflowing carpet, point jumped complimentary wireless internet connection booked room w hotel, desk concerned leaving early wanted better room, knew told hotel wasn__Ç_é_ good fit, think people enjoy turn-of-the-century charm property offer wasn__Ç_é_ place, major renovation adolphus able compete properties downtown it__Ç_é_ far past prime,  ",2
"absolutely best hotel new york city chose hotel based high ranking trip advisor.we know rated 1 new york city, hotel best hotel stayed united states canada, time new york john staff feel home, rooms great complimentary breakfast wine cheese snacks daily great experience, hotel great location literally right heart times square.the service hotel absolute best, desk representatives friendly helpful people wish, way help way, greet smile leave come ask day ask, housekeeping staff cafe staff desk staff terrific, especially thank peter jeffery desk staff absolutely going far duty make stay greatest experience, forget, stay casablanca hotel recommend hotel friends travel agents, look forward seeing future.mike sharon maurice bev,  ",5
"great locally owned hotel heart french quarter great hotel heart quarter right st. louis cathedral 2 blocks bourbon street 1 block cafe du monde 5 minute walk frenchmen street jazz clubs 65 minutes stop drink coop, maintained property locally owned beautiful court yard caring staff, simply place stay care price convenience, stayed trips n.o.la 5 weeks year katrina 2 nights year hotel booked, trip stayed hilton efficient business class hotel n't friendly, morning person stay listening jazz wee hours, mornings place way beautiful breakfast room guests staff say hello, frankly little jarring sleepy self, none bothered hilton, nobody said hello free continental breakfast.most importantly hotel owned local family cares city, money spend stay stay new orleans money leave chain hotels stay new orleans, love new orleans stay local shop eat local help new orleans pre levels,  ",5
"quaint rundown son decided celebrate graduation high school trip seattle, chose inn queen anne proximity experience music project space needle funky shops eateries nearby, hotel described quaint pictures hotel website nice gave shot.upon entering hotel greeted carpet lobby filthy torn, uh-oh thought good sign, desk overbooked paid confirmed reservations late arrival 2 weeks prior room left 2 beds, took hurriedly left things room grab quick bite, returning getting bed noticed room a/c windows open son double bed clean twin hairy sheets closet, talking old fashioned wall pull-out bed-this actually tiny twin bed stuffed closet, went kitchenette leftovers fridge fridge mold work, went desk complain told nothing sucked tried sleep, took sheets bed used sons blanket eventually closet got stuffy jumped sons bed fan, morning experienced plumbing issues toilet shower bugs bathroom, packing looked bed make sure got discovered possessions stayed did, housekeepers clean beds change sheets, canceled rest stay decided leave seattle drove anacortes stayed cap sante inn- palace compared night before.i wrote manager queen anne requesting refund, received letter saying refund given gave coupon stay, use, word quaint queen anne uses advertising rundown.my advice anybody staying check room white glove inspection make sure working order agree stay it.by way queen anne policy reserve room charge card immediately refund 72 hours advance cancellation, ridiculous,  ",1
"perfect, got long weekend new york casablanca perfect base stay, location ideal times square near subway n't hear noise room, room near hotel quite large, clean comfortable nice amenities bath robes ice bucket wine glasses city guide.the hotel staff friendly went way help, breakfast varied wine cheese free flowing coffee tea nice touch.the brooklyn diner door good worth visit.would definitely recommend hesitation,  ",5
"ok great hotel heart downtown walking distance need, stayed overnight going play paramount nice walk hotel, bed comfy room service pretty fast, little convenience store block away avoid mini bar prices, agree reviewers room match price pay, used price feature payed 1/2 price listed westin website, ended small room right elevators hear people talking hall,  ",3
"airport quality westin downtown price stayed westin week 9/15/07, observations rooms extremely dated stained carpets old bathrooms outdated fixtures amenties nearly worth 200 night price tag, prized heavenly bedis nothing special time, including lower end hotels courtyard hyatt place better beds, heavenly bath joke, no-name substandard bath products tub/shower combinations abound, old lighting half n't work poorly placed tvs standard, low ceilings old hotel scents abundant, service hotel staff nice failed deliver efficient quality service, room service 3 times recieving cork screw, check staff good eager please.food attended meeting facility food nasty, eggs runny breakfast food typical rubber chicken type food people speak talk conference food, nothing worthy praise arena including dull meeting room reminiscent hospital waiting rooms.safety high value item stolen group hotel, staff pretty pathetic approach resolving situation, best hour half provide non emergency number seattle police department.overall disatisfied hotel, blocks area safe upscale, stay grand hyatt sheraton, avoid dated underserviced property unless pay 100 night, stayed westin hotels worst, includes staying dreaded lax westin priceline.com room, pitiful really,  ",1
"enjoyed stay wonderful stay white swan inn, location convenient union square chinatown cable cars, room lovely clean quiet, enjoyed breakfast especially french toast morning, staff pleasant helpful somewhat busy times, definitely stay, atmosphere small hotel large chain,  ",5
"nasty, reviewers warned, time stayed place d'armes, yes great location pool courtyard picturesque, make dirty hotel, end second day room serviced housekeeping, wife fresh towels cart pool area, hotel staff later delivered clean wash cloths offer clean straighten room, claimed disturb sign, sign read maid service, morning day fingernail clippings bed sleeping, stripped beds linens searched rest room filth, pair men underwear television armoir, immediately went desk talked manager, apologized comped parking fees entire stay promised room cleaned return, return little hours later, got room disturb sign hanging doorknob, surprised not, opened door room exactly left, housekeeping touched room, went desk spoke manager, used excuse sign hanging door housekeeping touch room, enfuriated especially saw family parking garage leave day, knew return mid-afternoon nothing room, manager told room meet new housekeeping supervisor, room showed upset, apoligies followed excuses 1. new job, 2. takes time train staff, 3. come building read hotel, 4. housekeeping staff following disturb sign request, wife talked decided cut vacataion short checked left, lucky relatives 2 hours away, later night speak mr. volentine general manager, offered apologies admitted ball dropped twice mishandling situation, offered incentives try place d'armes, offer gas reimbursement going hotel, worked people service industry 28 years, feel qualifies say detect ounce sincerity apologies excuses received, protect family, far reviews january 1 2008. complaints, believe reviewers hotel staff administrators ones giving place favorable review score, read reviews, times stayed incident, tried time shocked happened,  ",1
"good choice nice hotel, location excellent reasonably priced staff excellent, return san fran trip,  ",5
"faded beauty staying kahala 1970s wonderful memories hotel, great hotel looking little worse wear days.the fundamentals place hotel looking tired, location fabulous tony kahala section honolulu diamond head downtown great alternative touristy unappealing waikiki, sandy sheltered semi-private beach beautiful gorgeous backdrop seaside breakfast, views rooms koko head kahala beach neighboring golf club interior mountains oahu rooms terraces, staff hotel person lovely worked hotel various itinerations years.however leading hotels world property shabby condition lobby guest room furnishings fairly inexcusable little sad, hotel looks n't freshening dropped mandarin group years ago, looks cut housekeeping services difficult expect room cleaning 12pm.i bit sentimental attachment property discriminating guest little disappointed current state facility, said apart nice expensive halekulani smaller rooms waikiki location little alternative nice old hotel honolulu,  ",5
"clift rated, clift definitely rated, mentioned reviews doormen lazy worthless, thing worse guest opening doors opening doors stylish guy pony tail stands watches, help baggage, add star rating bathrooms horrible, marble flooring scuffed stained looked dirty visit housekeeping, small, seen smaller bathroom, little space personal toiletries rooms cold univiting, ol phillipe s. going celestial cloud crap itcame cold uninviting, bed horrible, westin pillow bed time lumpy bed clift.and ca n't room rooms dresser, nights lived suitcase dresser, nice sized closet handled hanging clothes k-mart college dorm style open shelf unit closet nice dresser stayed remodling try, prefer fairmont westin clift, clift comfortable place stay, care designed designed way loves design, obviously hoel management drop review response, reviewers mentioned high room service charges agree 15 gratutity 5 surcharge 3.50 delivery charge, overpriced room meal, walked starbucks day glad did, overall bad hotel 5 star,  ",3
"great deal, noisy terrific deal free parking internet, large clean room bay window, comfortable beds noise rooms, 30 minute walk fisherman wharf, called day needed room able geta room facing lombard st lot street noise lombard, sleep noise, neighborhood felt safe lots good restaurants nearby,  ",4
"great stayed chancelor week brill time location great hotel staff helpful definitly,  ",5
"relaxation biltmore recently visited biltmore second time, stayed classic room arizona wing, room spacious clean, bathroom huge amenities nice, beds extremely comfortable fluffy white duvets pillows, felt service excellent, arrived room ready 4 hours check time, great service restaurants bars, ate poolside restaurant biltmore grill dinner breakfast, visited lounge evening, resort maintained, grounds gorgeous- gardens beautiful flowers.we used spa took classes offered- power walk upper body conditioning class, charge 15 class little ridiculous charge 20/night resort fee, hiked squaw peak better paying 25/p.p, guide resort, felt spa treatments ok nothing spectacular.all love resort, year, great place relax sun beautiful setting,  ",4
"loved el convento el convento exceptional hotel great location absolute center action old san juan, family stayed week loved, room turned big suite right rooftop pool area staircase led patio area serve wine cheese evening, room plasma tv tv living room bose cd/radio really nice quaint period feel, wine cheese cut places serve free, excellent cheese selection surprisingly decent wine rioja 20 bottle retail, courtyard food restaurant good, strongly recommend place, tip n't miss ice-cream ben jerry street hotel, trust best ben jerry,  ",5
"meet dallas nice outdoor swimming pool outside, rooms big, lobby large hold people, met america family,  ",4
"loved stay husband stay best western avalon i-10 everytime visit new orleans, turns times 12 mos, time pleasant stay staff professional friendly, prompt address concerns immediately, location perfect i-10 away hustle bustle downtown new orleans 10mins away i-10, continue book best western avalon,  ",5
"loved huntington recently stayed huntington hotel trip girlfriends, happily surprised quaint decor elegant atmosphere hungtington historic location, staff friendly accomodating accomodations pleasant,  ",4
"warning n't stay, dump, spend extra money stay hilton, really worth spending money place, n't sleep rooms muggy n't open window escape, ate nights stay stay hotel bad, definitely worth dime, say 1-2 star hotel, quality suites motel 6 better,  ",1
"good hotel good price property renovated old structure, style hotel lots old city feel modern conveniences, weekend youth group bit noisy happen hotel, trolly stop right street takes way canal st. charles,  ",4
"loved moore hotel, got night stay moore hotel seattle, 65 night paid amazing deal, room 6th floor views bay, room large clean quiet somewhat dark staff friendly helpful, drawback clawfoot tub bathroom decals bathmat careful bit slippery, desk provide bath mats spend bucks, location really convenient blocks pike place market easy walking distance pioneer square main shopping area location catch tourist buses cruises, metro bus 1.25 2.00 depending time day airport blocks away, definitely stay seattle prices certainly afford,  ",4
"outstanding price location awesome, arrived day holiday greeted warm welcome chateau lemoyne, desk upgraded suite n't booked, free cocktail reception lounge, room beautiful clean, balcony courtyard, netya desk soooo sweet, stay everytime visit, location best,  ",5
"wonderful place stay, family stayed embassy suites 4 nights past month wedding, definitely stay, complimentary breakfast wonderful order omelets imagine, enjoyed complimentary happy hour night outdoor swimming pool beautiful atrium/lobby japanese fish, great location,  ",5
"fantastic affordable boutique hotel great location boyfriend recently stayed, research noticed lot reviewers mentioned rooms little small, contacted max daddy a.k.a, chris bebo asked larger room, booked larger artist king room gave additional pricing wanted upgrade deluxe rooms, stuck larger artist king staying 4 nights, perfect, great view cozy hip room, hotel rooms really reminded smaller expensive w stayed nyc, little storage space bathroom small, research hotel max used older hotel explains smaller bathrooms, personally thought cute completely sufficient, solve storage problems asked hangers 10 minutes later, staff helpful desk questions needs, harry sure cab night car airport, highly recommend getting car instead cab, cheaper safer nicer automobile, hotel close attractions shopping restaurants, needed cab able walk, definitely boutique feel lot hotels nowadays hotel max cheaper pricing cheap service, needless say really enjoyed stay time seattle, visit near future definitely stay hotel max,  ",4
"casablanca n't nicer, adored casablanca ca n't wait, staff helpful location perfect sightseeing shows, folks desk greeted eager assist, going april definitely staying casablanca,  ",5
"great place stay price booked hotel based reviews tripadvisor.com disappointed, rooms bit outdated large clean, web site requested extra pillows refrigerator 5 day charge place arrived, big draw free parking great.we stayed nights beginning california vacation nights end vacation, visit lombard st. hotel pretty noisy partially obstructed view gg bridge kind nice, noise n't horrible compared places stayed nyc bother sensitive people, second visit hotel moulton st. bit quieter, little noise better.the bed pillows comfortable plenty hot water water pressure shower, desk staff friendly offered suggestions places eat things, hotel close public transportation plenty places eat neighborhood, best place dinner silver clouds, appears bar nice meal, early bird special 7:30 10.95 included salad entree grilled salmon osso buco pasta veggies dessert, lots neighborhood restaurants/bars unique shops union street union square couple blocks away.security good, use room key access elevator parking garage lobby levels, car park garage lobby level arrive wo n't key elevator.wireless internet access free worked room.there free breakfast microwave available great, pool cool swim outdoors,  ",4
"confirmed reservation honoured ruined day 2008 hotel booked night 15 2008 night boston prior return uk, presenting confirmed reservation voucher provided travel agents advised booking recorded booking previous day, rooms available convention boston evening, deliberation accommodation hotel 12 miles outside city, inaccuracies told alledged earlier reservation, subsequently learned probably presume room let higher rate view great demand evening, experience ruined 24 hours boston,  ",1
"n't, arrived hotel 11pm sat, night checked upgraded junior suite, happy n't wait room, n't special, hallways wallpaper peeling paint chipping, tiled floor room cracked, tried fall asleep numerous times awakened 20 minutes door slaming people yelling, desk finally moved room 5th complaint, room little better scary looking good shape, day hotel unable shower b/c water stopped working, complained told running 15 mins, happen luckily water working night able shower bed, following day woke sweating thought n't air high room come a/c n't working entire hotel, unable shower morning b/c water n't working..again, valet 25 day park takes 30 min car request hotel door, pool area nice direct access beach hotel, problems hotel n't hard time complained check-out given 2 nights stayed free, looking stay average hotel basic things running water a/c hotel marseilles not,  ",1
"n't let whitewash fool lobby looks spectacular marble lights, floors decore old falling apart cheap, interior room old used furniture king size bed simply double beds pushed, water presure awful shower height built short persons, parking non-existent unless want pay 18 day valet, pool tiny spa area joke, prepared pay parking overpriced breakfast ihop block coffee room, cable tv 7 channels small tv set.no view ocean.go money,  ",2
"switched hotels night fair business travel year developed standard, hotel nice central interrior staff extremely helpful, maybe got unlucky switching rooms twice smell room unatractive characteristics decided leave property together.the hotel located far french quarter contributed decision switch.although bar nice breakfast day stay excellent accustomed higher standard comfort room,  ",2
"nice place eye credit card came 05/28/2007 check try charge 500.00, took 2 1/2 hours clarify lose fight, check bank account 05/29/2007 charge 2,514.60 immediatly called took 3 days, told money 3 4 business days, place beutiful 5 starts plus restaurants n't best food expensive, tip pay cash credit card restaurants bars shoping store receipes charge double,  ",2
"fantastic hotel highly recommended place best hotels stayed, excellent location union square rooms relatively small boutique hotel designed really clean safe tv cd player room.the staff nice friendly ca n't, mao restaurant great breakfasts way, alicia bar free popcorn fab, matt bellboy susie tour desk good request, free coffee cookies fruit reception great touch.all best hotel stayed tour states,  ",5
"great, sold hotel reviews friendly staff called reservation, pulled little nervous street busy noisy outside building looked office building, disappointed, inside quiet n't know traffic outside room nice, got home realize promised king bed pull soft ended queen pull sofa, plenty room accomodate rollaway bed accomodate family, premier room included rate nice breakfast delivered room, satisfied choices service nice, afternoon snacks quickly partook rushed sightsee, n't utilize free shuttle bus longer, nice free parking lot plus, nice sink hair dryer outside shower area getting ready, location easy convenient typical attractions university, glad stay,  ",4
"really good says, spent weekend, positive things said, clean convenient friendly perfect location excellent price, ca n't wait,  ",4
"sewage backed shower bad management went wedding 3 nights.we dead animal smell room.the shower backed sewage wife getting ready wedding second room.the management reluctant make situation right, puerto rico beautiful, el conquistador needs new management.stay,  ",1
"great time omni stayed 10/26-10/28 room 1710. really loved hotel, great location midtown close subway stops, arrived 1:00 given early checkin free room upgrade, got king bed comfy, room large sitting chair desk armoire, came extra pillows umbrella came handy rained weekend, bathroom ok size great 1 traveler work 2. housekeeping nice room nicely cleaned day, room hair dryers safes robes, hair dryer n't work, called housekeeping replaced 10 minutes, sure reviews stating bad noise, room right elevators rarely heard sunday morning hallway traffic, ate/drank night fireside, nice bar good food bartenders great, fantastic stay, definitely recommend stay,  ",5
"worst hotel experience thinking booking room hotel n't, traveled seattle 3 work colleagues seminar, booked room priceline asking 3-star hotel downtown seattle got reservations renaissance supposedly 4-star hotel, disaster half got rooms i-5 freeway building, noise bad large container trucks rumbling night switch rooms, earplugs n't help block noise, rooms pretty shabby scratched damaged furniture, complained management asked switch rooms told priceline rooms discounted rooms n't expect quality paying guests, ended pay extra 25 night adequate rooms.the half group got rooms hotel, construction going early morning quite late night, rooms terribly noisy earplugs cut noise.the staff acted complaints guests able sleep noise old news n't want hear, acted indignant dare complain extremely rude dismissive.also ice machines broken floors search 3 floors working attempt fix, minibar mini refrigerator rooms, spot refigerator used removed all.the renaissance bills 4-star hotel, rating based solely hotel lobby 3 stars, based shabby rooms noise lack service rude staff stretched 1 star stay renaissance hotel,  ",1
"lovely charming hotel lovely old-style san francisco hotel lot charm ambiance quiet weekend romantic getaway, husband loved, antique furnishings combined nicely modern plumbing usual things expect, surprised negative reviews n't book place, say type likes corporate hotels rooms look furnishings know expect step way not, enjoy unique quality san francisco maybe victorian type ambiance place stay, need air conditioning review complained lack sf temperatures rarely 65-70___f rooms hot, courtyard- facing room windows open time quiet home mountains/redwood forest, light sleeper awakened city noises expected, brought earplugs need use, adverse city noise ask courtyard room, heard siren activity expected, easy walk nice restaurants short cab ride union square fisherman wharf, excellent place stay,  ",5
"great value trip new york wanted stay away usual tourist centre times square closer night restraunt areas new york.the chelsea pines inn great 2 subway stations 14th street, 2 stops central subway station walking distance ot times square, greatest neighbourhood best buzz, room basic fridge toliet shared floor, staff amazing helpful, breakfast provided everymoring patio area start day giving bigger cost saving, place great budget need clean comfortable place stay,  ",5
